text,primary_emotion,secondary_emotions,meta_emotions,sentiment,interaction_style,intensity,context
"I’m proud of my friend for overcoming her struggles, but it makes me wonder if I’m doing enough with my life.",Admiration,"['Envy', 'Guilt']","['Pride about admiration', 'Shame about envy']",Mixed,Reflective,4,Relationships
"Finally finished that project! It was exhausting, but I’m thrilled it’s done!",Relief,"['Joy', 'Pride']",['Contentment about relief'],Positive,Assertive,5,Career
The laughter we shared during our reunion was the best part of my week. I miss those moments already.,Nostalgia,"['Joy', 'Bittersweetness']",['Gratitude about joy'],Positive,Supportive,6,Relationships
Why does everything feel so uncertain right now? I wish I had some clarity.,Uncertainty,"['Anxiety', 'Frustration']",['Vulnerability about uncertainty'],Ambiguous,Conflicted,5,Self-Reflection
Graduation feels both exciting and sad. It’s the end of something beautiful but the start of something new.,Bittersweetness,"['Joy', 'Sadness']","['Pride about accomplishment', 'Nostalgia about ending']",Mixed,Supportive,6,Education
"I can’t believe they lied to me. I trusted them, and now I feel so betrayed.",Anger,"['Frustration', 'Sadness']",['Regret about misplaced trust'],Negative,Conflicted,7,Relationships
Looking at old photos makes me smile and cry at the same time. Those moments were so precious.,Nostalgia,"['Joy', 'Sadness']","['Gratitude about the past', 'Bittersweetness about time passing']",Mixed,Reflective,6,Self-Reflection
"When I heard the news, I felt a rush of joy and relief—it was like a weight had been lifted.",Relief,"['Joy', 'Gratitude']",['Contentment about positive resolution'],Positive,Supportive,5,Health
"I’m so excited about the new project! It’s challenging, but I feel ready to take it on.",Excitement,"['Anticipation', 'Confidence']",['Pride about readiness'],Positive,Assertive,6,Career
The way they helped me when I was struggling shows how much they care—it means so much to me.,Gratitude,"['Love', 'Relief']",['Appreciation about kindness'],Positive,Supportive,6,Relationships
"Losing the championship by just one point is heartbreaking, but I’m proud of how far we came as a team.",Bittersweetness,"['Pride', 'Sadness']","['Gratitude about teamwork', 'Disappointment about loss']",Mixed,Reflective,7,Sports
"When I look at my child’s achievements, I feel an overwhelming sense of pride and joy—it’s such a special feeling.",Pride,"['Joy', 'Gratitude']",['Contentment about family'],Positive,Supportive,6,Family
"I feel completely stuck in this situation. Every time I think I’ve made progress, another obstacle appears.",Frustration,"['Hopelessness', 'Sadness']",['Exhaustion about persistence'],Negative,Conflicted,7,Career
"Watching the sunset over the ocean fills me with a serene, almost otherworldly calm—it’s like time stands still.",Serenity,"['Awe', 'Contentment']",['Gratitude about nature'],Positive,Reflective,5,Nature
I was genuinely surprised by how kind they were—completely unexpected but very appreciated.,Surprise,"['Gratitude', 'Joy']",['Appreciation about unexpected kindness'],Positive,Supportive,5,Relationships
Knowing that my efforts inspired others to take action makes all the hard work feel worthwhile.,Pride,"['Gratitude', 'Fulfillment']",['Satisfaction about making a difference'],Positive,Assertive,6,Activism
Every decision I make seems to lead to more confusion—I can’t figure out what the right path is.,Uncertainty,"['Anxiety', 'Frustration']",['Vulnerability about indecision'],Ambiguous,Conflicted,6,Self-Reflection
Hearing their words of encouragement just when I was about to give up gave me a renewed sense of hope.,Hope,"['Gratitude', 'Relief']",['Appreciation about timely support'],Positive,Supportive,7,Personal Growth
The overwhelming sadness I felt when I realized I couldn’t attend their wedding was mixed with genuine happiness for them.,Bittersweetness,"['Sadness', 'Joy']","['Regret about missing an event', 'Happiness for their milestone']",Mixed,Reflective,6,Relationships
"Every time I think about that mistake, I feel a wave of regret and wonder how things could have been different.",Regret,"['Sadness', 'Frustration']",['Self-reflection about past actions'],Negative,Conflicted,7,Self-Reflection
"Winning the award was such an incredible moment, but it also made me feel a bit overwhelmed by the expectations that come with it.",Pride,"['Joy', 'Anxiety']","['Gratitude about recognition', 'Apprehension about responsibility']",Mixed,Reflective,8,Career
The kindness of a stranger who stopped to help me fix my flat tire left me speechless and deeply moved.,Gratitude,"['Surprise', 'Relief']",['Awe about unexpected help'],Positive,Supportive,7,Everyday Life
