text,primary_emotion,secondary_emotions,meta_emotions,sentiment,interaction_style,intensity,context
"Posted my artwork online for the first time, and I’m so nervous about how people will react. But I’m also proud of myself for putting it out there. 🎨",Pride,"['Nervousness', 'Gratitude']","['Reflection on courage', 'Commitment to creative growth']",Positive,Encouraging,8,Creativity
"I’m so proud of my progress in therapy. It hasn’t been easy, but every step feels like a victory. I still have a long way to go, but I’m starting to see the light at the end of the tunnel. 💡",Pride,"['Hope', 'Gratitude']","['Reflection on emotional resilience', 'Commitment to healing']",Positive,Empowering,8,Mental Health
"I’m happy that I’m learning something new, but I also feel overwhelmed by the amount of work it’s taking. 📚",Excitement,"['Stress', 'Anticipation']","['Reflection on growth', 'Commitment to learning']",Mixed,Conflicted,7,Personal Growth
"I was standing in front of the old house, now empty, and I couldn't help but feel a rush of sadness mixed with nostalgia. It was a place filled with memories, but letting go of it was also a symbol of moving forward, even if it was difficult.",Sadness,"['Nostalgia', 'Bittersweetness']","['Reflection on past memories', 'Acceptance of change']",Mixed,Reflective,8,Memory (Home)
Seeing how far I’ve come since I started this journey fills me with pride. I’m so grateful for the lessons learned along the way. ✨,Pride,"['Gratitude', 'Satisfaction']","['Reflection on growth', 'Commitment to self-improvement']",Positive,Empowering,8,Personal Growth
"I’m not sure how to feel about this job offer. It seems good, but I’m hesitant and uncertain about the future. 😕",Uncertainty,"['Doubt', 'Fear']","['Reflection on decisions', 'Commitment to self-trust']",Ambiguous,Conflicted,8,Career
Reuniting with my childhood best friend after decades apart brought a flood of joy and an instant reminder of the unbreakable bond we share.,Joy,"['Gratitude', 'Comfort']","['Happiness about enduring friendship', 'Appreciation for shared history']",Positive,Supportive,10,Relationships
"I’m excited about the new opportunities ahead, but I also feel overwhelmed by all the changes. It’s a little scary. 😬",Excitement,"['Fear', 'Apprehension']","['Reflection on change', 'Commitment to embracing new challenges']",Mixed,Conflicted,8,Personal Growth
"Performed my own poetry at a local open mic night for the first time. I was nervous, but the applause reminded me why I love sharing my words. ✍️",Pride,"['Nervousness', 'Gratitude']","['Reflection on bravery', 'Commitment to creative expression']",Positive,Empowering,9,Creativity
"It’s a typical day. Nothing special, but that’s okay. I’m fine with just going through the motions. 🕰️",Neutral,"['Indifference', 'Contentment']","['Reflection on routine', 'Commitment to simplicity']",Neutral,Indifferent,5,Everyday Life
"I’m proud of how far I’ve come in my fitness journey, but I know there’s still more to achieve. 💪",Pride,"['Determination', 'Hope']","['Reflection on progress', 'Commitment to perseverance']",Positive,Empowering,8,Health
"I feel disconnected from my old friends. It’s hard to reach out, but I miss them so much. 😔",Loneliness,"['Sadness', 'Regret']","['Reflection on past relationships', 'Commitment to reconnection']",Negative,Supportive,8,Relationships
"When I saw the farewell card signed by my entire team, I felt a bittersweet mix of sadness for leaving and gratitude for the connections I had built during my time with them.",Bittersweetness,"['Gratitude', 'Sadness']","['Reflection on meaningful relationships', 'Commitment to cherishing connections']",Mixed,Supportive,8,Transition
Spent the day planting wildflowers in a local park. Seeing the community come together reminded me how powerful small actions can be. 🌱,Gratitude,"['Connection', 'Joy']","['Reflection on community impact', 'Commitment to collective action']",Positive,Empowering,9,Community
